miRNA,importance
hsa-mir-4752,0.0
hsa-mir-1246,0.0
hsa-mir-4433b,0.0
hsa-mir-3144,0.0
hsa-mir-5689,0.0
hsa-mir-7973-2,0.0
hsa-mir-3180-1,0.0
hsa-mir-4304,0.0
hsa-mir-6859-4,0.0
hsa-mir-562,0.0
hsa-mir-1299,0.0
hsa-mir-548m,0.0
hsa-mir-548f-5,0.0
hsa-mir-3180-3,0.0
hsa-mir-4435-2,0.0
hsa-mir-548k,0.0
hsa-mir-1182,0.0
hsa-mir-4740,0.0
hsa-mir-383,0.0
hsa-mir-6507,0.0
hsa-mir-374a,0.0
hsa-mir-3146,0.0
hsa-mir-4663,0.0
hsa-mir-3119-1,0.0
hsa-mir-4453,0.0
hsa-mir-6076,0.0
hsa-mir-7850,0.0
hsa-mir-3198-1,0.0
hsa-mir-7851,0.0
hsa-mir-7977,0.0
hsa-mir-6744,0.0
hsa-mir-6752,0.0
hsa-mir-4295,0.0
hsa-mir-6890,0.0
hsa-mir-4448,0.0
hsa-mir-3166,0.0
hsa-mir-4524a,0.0
hsa-mir-3135b,0.0
hsa-mir-6088,0.0
hsa-mir-1184-3,0.0
hsa-mir-548a-2,0.0
hsa-mir-563,0.0
hsa-mir-4431,0.0
hsa-mir-4437,0.0
hsa-mir-3189,0.0
hsa-mir-6766,0.0
hsa-mir-6746,0.0
hsa-mir-6873,0.0
hsa-mir-718,0.0
hsa-mir-4480,0.0
hsa-mir-206,0.0
hsa-mir-133a-2,0.0
hsa-mir-6864,0.0
hsa-mir-8076,0.0
hsa-mir-514b,0.0
hsa-mir-6753,0.0
hsa-mir-4682,0.0
hsa-mir-621,0.0
hsa-mir-6862-1,0.0
hsa-mir-4489,0.0
hsa-mir-1231,0.0
hsa-mir-3195,0.0
hsa-mir-4464,0.0
hsa-mir-4667,0.0
hsa-mir-4737,0.0
hsa-mir-133b,0.0
hsa-mir-593,0.0
hsa-mir-548ab,0.0
hsa-mir-3153,0.0
hsa-mir-4678,0.0
hsa-mir-1244-1,0.0
hsa-mir-4520-2,0.0
hsa-mir-4284,0.0
hsa-mir-4635,0.0
hsa-mir-513a-1,0.0
hsa-mir-5707,0.0
hsa-mir-4451,0.0
hsa-mir-4436b-2,0.0
hsa-mir-5591,0.0
hsa-mir-4751,0.0
hsa-mir-4774,0.0
hsa-mir-642b,0.0
hsa-mir-4539,0.0
hsa-mir-612,0.0
hsa-mir-23c,0.0
hsa-mir-513c,0.0
hsa-mir-5194,0.0
hsa-mir-4699,0.0
hsa-mir-606,0.0
hsa-mir-5580,0.0
hsa-mir-5189,0.0
hsa-mir-6838,0.0
hsa-mir-3181,0.0
hsa-mir-378i,0.0
hsa-mir-4731,0.0
hsa-mir-4533,0.0
hsa-mir-548at,0.0
hsa-mir-5088,0.0
hsa-mir-892a,0.0
hsa-mir-507,0.0
hsa-mir-5705,0.0
hsa-mir-6789,0.0
hsa-mir-4729,0.0
hsa-mir-4435-1,0.0
hsa-mir-4703,0.0
hsa-mir-4698,0.0
hsa-mir-5692c-2,0.0
hsa-mir-3121,0.0
hsa-mir-4764,0.0
hsa-mir-5692a-2,0.0
hsa-mir-4679-1,0.0
hsa-mir-6866,0.0
hsa-mir-6787,0.0
hsa-mir-6809,0.0
hsa-mir-4711,0.0
hsa-mir-2682,0.0
hsa-mir-550b-1,0.0
