miRNA,importance
hsa-mir-514a-3,0.0
hsa-mir-612,0.0
hsa-mir-4678,0.0
hsa-mir-7106,0.0
hsa-mir-3650,0.0
hsa-mir-548aj-1,0.0
hsa-mir-4783,0.0
hsa-mir-509-3,0.0
hsa-mir-3119-1,0.0
hsa-mir-1184-1,0.0
hsa-mir-6088,0.0
hsa-mir-3672,0.0
hsa-mir-3201,0.0
hsa-mir-4663,0.0
hsa-mir-4480,0.0
hsa-mir-7853,0.0
hsa-mir-1289-2,0.0
hsa-mir-640,0.0
hsa-mir-623,0.0
hsa-mir-6076,0.0
hsa-mir-5192,0.0
hsa-mir-4650-1,0.0
hsa-mir-6129,0.0
hsa-mir-526a-2,0.0
hsa-mir-606,0.0
hsa-mir-6828,0.0
hsa-mir-1272,0.0
hsa-mir-4695,0.0
hsa-mir-4530,0.0
hsa-mir-5011,0.0
hsa-mir-451b,0.0
hsa-mir-6077,0.0
hsa-mir-548ab,0.0
hsa-mir-548ap,0.0
hsa-mir-2861,0.0
hsa-mir-1972-1,0.0
hsa-mir-3180-5,0.0
hsa-mir-3141,0.0
hsa-mir-548a-1,0.0
hsa-mir-448,0.0
hsa-mir-4432,0.0
hsa-mir-4322,0.0
hsa-mir-3180-3,0.0
hsa-mir-548f-5,0.0
hsa-mir-4315-2,0.0
hsa-mir-5692a-2,0.0
hsa-mir-3591,0.0
hsa-mir-548am,0.0
hsa-mir-3621,0.0
hsa-mir-586,0.0
hsa-mir-4428,0.0
hsa-mir-4793,0.0
hsa-mir-668,0.0
hsa-mir-133a-2,0.0
hsa-mir-548y,0.0
hsa-mir-4744,0.0
hsa-mir-7850,0.0
hsa-mir-509-1,0.0
hsa-mir-3198-1,0.0
hsa-mir-507,0.0
hsa-mir-4648,0.0
hsa-mir-3182,0.0
hsa-mir-3606,0.0
hsa-mir-509-2,0.0
hsa-mir-4467,0.0
hsa-mir-371b,0.0
hsa-mir-4430,0.0
hsa-mir-4510,0.0
hsa-mir-133a-1,0.0
hsa-mir-4520-1,0.0
hsa-mir-548n,0.0
hsa-mir-6742,0.0
hsa-mir-1539,0.0
hsa-mir-2117,0.0
hsa-mir-941-1,0.0
hsa-mir-7852,0.0
hsa-mir-1302-3,0.0
hsa-mir-1260a,0.0
hsa-mir-3116-2,0.0
hsa-mir-3145,0.0
hsa-mir-642b,0.0
hsa-mir-3202-2,0.0
hsa-mir-6829,0.0
hsa-mir-5088,0.0
hsa-mir-7158,0.0
hsa-mir-3121,0.0
hsa-mir-6744,0.0
hsa-mir-1299,0.0
hsa-mir-3689f,0.0
hsa-mir-3689e,0.0
hsa-mir-1825,0.0
hsa-mir-4438,0.0
hsa-mir-553,0.0
hsa-mir-7978,0.0
hsa-mir-6081,0.0
hsa-mir-6809,0.0
hsa-mir-4748,0.0
hsa-mir-4527,0.0
hsa-mir-4757,0.0
hsa-mir-4461,0.0
hsa-mir-3146,0.0
hsa-mir-4651,0.0
hsa-mir-621,0.0
hsa-mir-6862-1,0.0
hsa-mir-2909,0.0
hsa-mir-548av,0.0
hsa-mir-875,0.0
hsa-mir-1-2,0.0
hsa-mir-6773,0.0
hsa-mir-6816,0.0
hsa-mir-466,0.0
hsa-mir-4524a,0.0
hsa-mir-6873,0.0
hsa-mir-1972-2,0.0
hsa-mir-506,0.0
hsa-mir-4699,0.0
hsa-mir-3911,0.0
hsa-mir-124-1,0.0
hsa-mir-4314,0.0
hsa-mir-4436b-2,0.0
hsa-mir-4436a,0.0
hsa-mir-8079,0.0
hsa-mir-4471,0.0
hsa-mir-6778,0.0
hsa-mir-6787,0.0
hsa-mir-6795,0.0
hsa-mir-133b,0.0
hsa-mir-4439,0.0
hsa-mir-4464,0.0
hsa-mir-6862-2,0.0
hsa-mir-2682,0.0
hsa-mir-6770-3,0.0
hsa-mir-3915,0.0
hsa-mir-622,0.0
hsa-mir-888,0.0
hsa-mir-3656,0.0
hsa-mir-4478,0.0
hsa-mir-513a-2,0.0
hsa-mir-137,0.0
hsa-mir-4466,0.0
hsa-mir-3921,0.0
hsa-mir-3159,0.0
hsa-mir-378b,0.0
hsa-mir-518d,0.0
hsa-mir-6727,0.0
hsa-mir-3916,0.0
hsa-mir-3189,0.0
hsa-mir-4730,0.0
hsa-mir-662,0.0
hsa-mir-4435-1,0.0
hsa-mir-5587,0.0
hsa-mir-3197,0.0
hsa-mir-3659,0.0
hsa-mir-3168,0.0
hsa-mir-4310,0.0
hsa-mir-3135a,0.0
hsa-mir-378i,0.0
hsa-mir-3171,0.0
hsa-mir-4488,0.0
hsa-mir-514b,0.0
hsa-mir-938,0.0
hsa-mir-4518,0.0
hsa-mir-6746,0.0
hsa-mir-5591,0.0
hsa-mir-3663,0.0
hsa-mir-4635,0.0
hsa-mir-206,0.0
hsa-mir-3688-2,0.0
hsa-mir-4679-1,0.0
hsa-mir-3144,0.0
hsa-mir-6752,0.0
hsa-mir-4634,0.0
hsa-mir-4751,0.0
hsa-mir-6871,0.0
hsa-mir-3165,0.0
hsa-mir-2681,0.0
hsa-mir-513c,0.0
hsa-mir-718,0.0
hsa-mir-7160,0.0
hsa-mir-7977,0.0
hsa-mir-7157,0.0
hsa-mir-593,0.0
hsa-mir-4489,0.0
hsa-mir-4451,0.0
hsa-mir-3153,0.0
hsa-mir-892a,0.0
hsa-mir-3937,0.0
hsa-mir-4445,0.0
hsa-mir-5689,0.0
hsa-mir-6866,0.0
hsa-mir-3196,0.0
hsa-mir-4517,0.0
hsa-mir-4672,0.0
hsa-mir-4682,0.0
hsa-mir-122,0.0
hsa-mir-7973-1,0.0
hsa-mir-6780a,0.0
hsa-mir-513a-1,0.0
