miRNA,importance
hsa-mir-3202-2,0.0
hsa-mir-1231,0.0
hsa-mir-4518,0.0
hsa-mir-6504,0.0
hsa-mir-4692,0.0
hsa-mir-520g,0.0
hsa-mir-5681a,0.0
hsa-mir-7158,0.0
hsa-mir-3121,0.0
hsa-mir-520h,0.0
hsa-mir-513c,0.0
hsa-mir-1286,0.0
hsa-mir-3181,0.0
hsa-mir-4713,0.0
hsa-mir-1260a,0.0
hsa-mir-507,0.0
hsa-mir-3915,0.0
hsa-mir-668,0.0
hsa-mir-4678,0.0
hsa-mir-4793,0.0
hsa-mir-5587,0.0
hsa-mir-2682,0.0
hsa-mir-519b,0.0
hsa-mir-6787,0.0
hsa-mir-4426,0.0
hsa-mir-1178,0.0
